作品名,アイテムカテゴリ,アイテム名,フレーバーテキスト,取得先URL
"エルデンリング","道具","聖杯瓶","名前効果入手場所\n緋色の結晶雫最大HPの半分を回復する第三マリカ教会\n小黄金樹(王都外廓)の根元の盆\n緋溢れの結晶雫3分間、HP最大値を1.1倍小黄金樹(アルター高原)のミミズ顔を倒す\n緋湧きの結晶雫3分間、HPを秒間7回復小黄金樹(啜り泣きの半島)の黄金樹の化身を倒す\n緋湧きの枯れ雫(DLC)3分間、周囲の味方のHPを秒間7回復影の城前の焼炉のゴーレム\n青色の結晶雫最大FPの半分を回復する小黄金樹(湖のリエーニエ西部)の黄金樹の化身を倒す\n小黄金樹(巨人たちの山嶺)の黄金樹の化身を倒す\n緑溢れの結晶雫3分間、スタミナ最大値を1.15倍小黄金樹(リムグレイブ)の根元の盆\n緑湧きの結晶雫3分間、スタミナ回復速度を高める小黄金樹(ケイリッド北西)の黄金樹の化身を倒す\n筋力瘤の結晶雫3分間、筋力+10嵐丘のボロ家から北東（戦学びのボロ家から北西）、トロルのいる辺りの盆\n技量瘤の結晶雫3分間、技量+10湖のリエーニエの祝福「見晴らし島」から北西の島の盆\n知力瘤の結晶雫3分間、知力+10湖のリエーニエの祝福「城館への道」と「カーリアの城館、正門」の中間地点あたりの崖下、ユビムシがいる林の中の盆\n信仰瘤の結晶雫3分間、信仰+10亜人森の廃墟から北、ミランダフラワーがいる所の盆\n真珠色の硬雫3分間、すべてのカット率を高める(15％軽減)小黄金樹(グレイオールの竜塚)の腐敗した化身を倒す\n斑彩色の硬雫3分間、耐性+90、状態異常を回復する小黄金樹(アルター高原)のミミズ顔を倒す\n鉛色の硬雫10秒間、スーパーアーマーで怯まない小黄金樹(ゲルミア火山)の爛れた樹霊を倒す\n弾く硬雫(DLC)5分間、瞬間的なガードを強化する。瞬間的なガードに成功するとガードカウンターも強化される墓地平原の焼炉のゴーレム\n魔力纏いの割れ雫3分間、与魔力ダメージ1.2倍小黄金樹(湖のリエーニエ東部)の黄金樹の化身を倒す\n炎纏いの割れ雫3分間、与炎ダメージ1.2倍小黄金樹(ケイリッド北西)の黄金樹の化身を倒す\n雷纏いの割れ雫3分間、与雷ダメージ1.2倍小黄金樹(湖のリエーニエ東部)の黄金樹の化身を倒す\n聖纏いの割れ雫3分間、与聖ダメージ1.2倍\n岩棘の割れ雫30秒間、攻撃で敵の体勢を崩す力とガードに対するスタミナ攻撃力を高める小黄金樹(グレイオールの竜塚)の腐敗した化身を倒す\n大棘の割れ雫3分間、タメ攻撃の与ダメージを1.15倍（魔術/祈祷/戦技のタメ使用は対象外）小黄金樹(リムグレイブ)の根元の盆\n連棘の割れ雫3分間、攻撃が連続するほど攻撃力が高まる小黄金樹(聖別雪原)の腐敗した化身を倒す\n緋吸いの割れ雫(DLC)45秒間、攻撃によりHPを回復するラウフの古遺跡の焼炉のゴーレム\n青吸いの割れ雫(DLC)45秒間、攻撃によりFPを回復するボニ村から北東の焼炉のゴーレム\n吸血の割れ雫(DLC)3分間、攻撃力を高めるがHPが減少し続けるアンテの廃墟の焼炉のゴーレム(大焼炉壺で起動した個体)\n細枝の割れ雫3分間、死亡時にルーンを落とさなくなる小黄金樹(王都外廓)の根元の盆\n羽の結晶雫3分間、最大装備重量を4.5倍にする世捨て商人のボロ家から東北東にある広場の盆夜に行くと死の鳥が出現するため注意\n風の結晶雫3分間、被ダメージが1.15倍になり、ローリングの無敵時間を0.1秒延長するケイリッドの祝福「エオニア沼、南岸」から街道を挟んで真南の窪みにある盆著大鴉が見張っているので注意\nすずらんの結晶雫(DLC)3分間、霊体の攻撃力を高めるカロの隠し墓地の焼炉のゴーレム\n緋色の泡雫3分間、残りHPが20%以下になると一度だけHPを30％回復する（残HP20％以上から即死した場合は発動しない。）小黄金樹(巨人たちの山嶺)の黄金樹の化身を倒す\n緋色渦の泡雫15秒間、受けたダメージをHP回復に変換する(物理ダメージは変換されない)火の頂の祝福「巨人墓標」の南東の崖上にある盆祝福「火の釜の麓」から北東の端まで進み、崖に沿って西へ移動すると細い道にユビムシが群れていて、その先で取得\n真珠色の泡雫3分間、一度だけ被ダメージを90%カットするバリアを得る小黄金樹(啜り泣きの半島)の黄金樹の化身を倒す\n青色の秘雫10秒間、すべてのFP消費がゼロになる。消費FPが最大FPを超える遺灰や魔術/祈祷も使用可小黄金樹(ゲルミア火山)の爛れた樹霊を倒す\n緑色の秘雫(DLC)15秒間、すべてのスタミナ消費がゼロになる墓地平原、祝福「青海岸」から北の焼炉のゴーレムを倒す\n浄血の結晶雫血の君主、モーグが使う数え上げる呪いのダメージを大幅に軽減する第二マリカ教会で純紫の血指、エレオノーラを倒す\n破裂した結晶雫使用すると約三秒後に自爆して自分自身に固定ダメージと周囲の敵に聖属性ダメージを与える小黄金樹(湖のリエーニエ西部)の黄金樹の化身を倒す\n小黄金樹(聖別雪原)の腐敗した化身を倒す\n油ぎった雫(DLC)30秒間、自分と周囲の敵を油まみれにするアンテの廃墟の焼炉のゴーレム","https://kamikouryaku.net/eldenring/?聖杯瓶"
"エルデンリング","道具","ルーンの弧","エルデンリングが砕けた破片\n使用により、装備した大ルーンの恩恵をもたらす\nまた大ルーンを装備しない状態で使用しても\nHPの最大値を少しだけ上昇させる\nエルデンリングの下方には\n輪の恩恵の受け皿、底辺の弧があるとされている\nこれは、その破片であろう","https://kamikouryaku.net/eldenring/?ルーンの弧"
"エルデンリング","道具","星光の欠片","青く輝く、儚い細片\n束の間に流れた星光の残滓\n使用により、FPをゆっくり回復する\nかつて、永遠の都では\n精薬の材料として珍重されたという\nVer.1.00のテキスト\nVer.1.00のテキスト\n天より降り注ぐ、青い星の光\nその残光が欠片として大地に残ったもの\nある種の商人は、これを代価に\n商品を融通してくれるらしい","https://kamikouryaku.net/eldenring/?星光の欠片"
"エルデンリング","道具","微睡の枝","昏紫の祈祷が施された枝木\n製作可能なアイテムのひとつ\n自らに刺し、ゆっくりと睡眠を蓄積する\nその間、FPが少しずつ回復する\nこの睡眠がたまりきった時\n一時朦朧とするが、FPが減少することはない\n微睡の中でこそ、自覚できる意志があり\n心の奥から、浮かび上がる思いがある","https://kamikouryaku.net/eldenring/?微睡の枝"
"エルデンリング","道具","霊馬の指笛","柔らかな金の指輪。指笛として使用する\n霊馬トレントを呼び出し、騎乗する\n（騎乗中に使用すれば、霊馬から降りる）\n霊馬が死亡した後も再度呼び出せるが\n「緋雫の聖杯瓶」が消費されてしまう","https://kamikouryaku.net/eldenring/?霊馬の指笛"
"エルデンリング","道具","毒の苔薬","洞窟苔を用いた緑色の丸薬\n製作可能なアイテムのひとつ\n毒の蓄積を軽減し、毒状態を癒す\n毒は徐々に蓄積し、たまりきると毒状態となる\n毒状態はしばらく続き、HPが減り続ける","https://kamikouryaku.net/eldenring/?毒の苔薬"
"エルデンリング","道具","火炎壺","ヒビ壺を使った製作アイテムのひとつ\n火を生じる素材を混ぜ合わせ、壺に封じたもの\n敵に投げつけ、炎ダメージを与える","https://kamikouryaku.net/eldenring/?火炎壺"
"エルデンリング","道具","調香瓶","","https://kamikouryaku.net/eldenring/?調香瓶"
"エルデンリング","道具","遠眼鏡","カーリア王家の星見の道具\nその一部が取り外され、持ち出されたもの\n遠くの景色が大きく見える\n黄金樹の時代、カーリアの星見は廃れていった\n夜空にあった運命は、黄金の律に縛られたのだ","https://kamikouryaku.net/eldenring/?遠眼鏡"
"エルデンリング","道具","骨の投げ矢","獣骨を鋭く削った投擲用のナイフ\n製作可能なアイテムのひとつ\n敵に投げつけ、ダメージを与える","https://kamikouryaku.net/eldenring/?骨の投げ矢"
